citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
62 FR 32467, 97-15828,32469,https://www.federalregister.gov/documents/1997/06/13/97-15828/improving-administrative-management-in-the-executive-branch,https://www.govinfo.gov/content/pkg/FR-1997-06-13/pdf/97-15828.pdf,Presidential Document,Executive Order,06/13/1997,1997-06-10,32467,Improving Administrative Management in the Executive Branch,"Amended by: EO 13284, January 23, 2003
Revokes: EO 12552, February 25, 1986; EO 12637, April 27, 1988; EO 12816, October 14, 1992",13048
62 FR 32471, 97-15879,32471,https://www.federalregister.gov/documents/1997/06/16/97-15879/organization-for-the-prohibition-of-chemical-weapons,https://www.govinfo.gov/content/pkg/FR-1997-06-16/pdf/97-15879.pdf,Presidential Document,Executive Order,06/16/1997,1997-06-11,32471,Organization for the Prohibition of Chemical Weapons,"",13049
64 FR 31105, 99-14901,31107,https://www.federalregister.gov/documents/1999/06/10/99-14901/increasing-participation-of-asian-americans-and-pacific-islanders-in-federal-programs,https://www.govinfo.gov/content/pkg/FR-1999-06-10/pdf/99-14901.pdf,Presidential Document,Executive Order,06/10/1999,1999-06-07,31105,Increasing Participation of Asian Americans and Pacific Islanders in Federal Programs,"Amended by: EO 13216, June 6, 2001 
Superseded by: EO 13515, October 14, 2009; EO 14031, May 28, 2021",13125
64 FR 72237, 99-33511,72247,https://www.federalregister.gov/documents/1999/12/23/99-33511/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-1999-12-23/pdf/99-33511.pdf,Presidential Document,Executive Order,12/23/1999,1999-12-21,72237,Adjustments of Certain Rates of Pay,"Supersedes: EO 13106, December 7, 1998 (in part)
Superseded by: EO 13182, December 23, 2000",13144
64 FR 68273, 99-31748,68273,https://www.federalregister.gov/documents/1999/12/06/99-31748/amending-executive-order-10173-as-amended-prescribing-regulations-relating-to-the-safeguarding-of,https://www.govinfo.gov/content/pkg/FR-1999-12-06/pdf/99-31748.pdf,Presidential Document,Executive Order,12/06/1999,1999-12-01,68273,"Amending Executive Order 10173, as Amended, Prescribing Regulations Relating to the Safeguarding of Vessels, Harbors, Ports, and Waterfront Facilities of the United States","Amends: EO 10173, October 18, 1950",13143
64 FR 48931, 99-23508,48931,https://www.federalregister.gov/documents/1999/09/08/99-23508/amendment-to-executive-order-13090-presidents-commission-on-the-celebration-of-women-in-american,https://www.govinfo.gov/content/pkg/FR-1999-09-08/pdf/99-23508.pdf,Presidential Document,Executive Order,09/08/1999,1999-09-03,48931,"Amendment to Executive Order 13090, President's Commission on the Celebration of Women in American History","Amends: EO 13090, June 29, 1998",13136
64 FR 63169, 99-30346,63170,https://www.federalregister.gov/documents/1999/11/18/99-30346/environmental-review-of-trade-agreements,https://www.govinfo.gov/content/pkg/FR-1999-11-18/pdf/99-30346.pdf,Presidential Document,Executive Order,11/18/1999,1999-11-16,63169,Environmental Review of Trade Agreements,"",13141
64 FR 34703, 99-16634,34704,https://www.federalregister.gov/documents/1999/06/28/99-16634/implementation-of-the-chemical-weapons-convention-and-the-chemical-weapons-convention-implementation,https://www.govinfo.gov/content/pkg/FR-1999-06-28/pdf/99-16634.pdf,Presidential Document,Executive Order,06/28/1999,1999-06-25,34703,Implementation of the Chemical Weapons Convention and the Chemical Weapons Convention Implementation Act,"Amends: EO 12938, November 14, 1994",13128
64 FR 30851, 99-14633,30860,https://www.federalregister.gov/documents/1999/06/08/99-14633/greening-the-government-through-efficient-energy-management,https://www.govinfo.gov/content/pkg/FR-1999-06-08/pdf/99-14633.pdf,Presidential Document,Executive Order,06/08/1999,1999-06-03,30851,Greening the Government Through Efficient Energy Management,"Revokes: EO 12759, April 17, 1991; EO 12845, April 21, 1993; EO 12902, March 9, 1994 
Revoked by: EO 13423, January 24, 2007
See: EO 13148, April 21, 2000",13123
64 FR 32383, 99-15491,32385,https://www.federalregister.gov/documents/1999/06/16/99-15491/prohibition-of-acquisition-of-products-produced-by-forced-or-indentured-child-labor,https://www.govinfo.gov/content/pkg/FR-1999-06-16/pdf/99-15491.pdf,Presidential Document,Executive Order,06/16/1999,1999-06-12,32383,Prohibition of Acquisition of Products Produced by Forced or Indentured Child Labor,"",13126
62 FR 17039, 97-9200,17039,https://www.federalregister.gov/documents/1997/04/08/97-9200/further-amendment-to-executive-order-13010-as-amended,https://www.govinfo.gov/content/pkg/FR-1997-04-08/pdf/97-9200.pdf,Presidential Document,Executive Order,04/08/1997,1997-04-03,17039,"Further Amendment to Executive Order 13010, as Amended","Amends: EO 13010, July 15, 1996
Note: EO 13041 is nullified in part by virtue of the Committee being abolished by EO 13138, September 30, 1999.",13041
61 FR 24665, 96-12535,24665,https://www.federalregister.gov/documents/1996/05/16/96-12535/termination-of-combat-zone-designation-in-vietnam-and-waters-adjacent-thereto,https://www.govinfo.gov/content/pkg/FR-1996-05-16/pdf/96-12535.pdf,Presidential Document,Executive Order,05/16/1996,1996-05-13,24665,Termination of Combat Zone Designation in Vietnam and Waters Adjacent Thereto,"",13002
61 FR 28721, 96-14372,28721,https://www.federalregister.gov/documents/1996/06/05/96-14372/amending-executive-order-no-12880,https://www.govinfo.gov/content/pkg/FR-1996-06-05/pdf/96-14372.pdf,Presidential Document,Executive Order,06/05/1996,1996-06-03,28721,Amending Executive Order No. 12880,"Amends: EO 12880, November 16, 1993",13008
61 FR 26071, 96-13305,26072,https://www.federalregister.gov/documents/1996/05/24/96-13305/locating-federal-facilities-on-historic-properties-in-our-nations-central-cities,https://www.govinfo.gov/content/pkg/FR-1996-05-24/pdf/96-13305.pdf,Presidential Document,Executive Order,05/24/1996,1996-05-21,26071,Locating Federal Facilities on Historic Properties in Our Nation's Central Cities,"See: EO 11593, May 13, 1971; EO 12072, August 16, 1978
Revoked by: EO 14274, April 15, 2025",13006
61 FR 21943, 96-11966,21945,https://www.federalregister.gov/documents/1996/05/10/96-11966/establishing-an-emergency-board-to-investigate-a-dispute-between-certain-railroads-represented-by,https://www.govinfo.gov/content/pkg/FR-1996-05-10/pdf/96-11966.pdf,Presidential Document,Executive Order,05/10/1996,1996-05-08,21943,Establishing an Emergency Board To Investigate a Dispute Between Certain Railroads Represented by the National Railway Labor Conference and Their Employees Represented by the Transportation Communications International Union,"",13001
61 FR 30799, 96-15656,30799,https://www.federalregister.gov/documents/1996/06/18/96-15656/amendment-to-executive-order-no-12963-entitled-presidential-advisory-council-on-hivaids,https://www.govinfo.gov/content/pkg/FR-1996-06-18/pdf/96-15656.pdf,Presidential Document,Executive Order,06/18/1996,1996-06-14,30799,Amendment to Executive Order No. 12963 Entitled Presidential Advisory Council on HIV/AIDS,"Amends: EO 12963, June 14, 1995",13009
61 FR 51763, 96-25577,51765,https://www.federalregister.gov/documents/1996/10/03/96-25577/supporting-families-collecting-delinquent-child-support-obligations,https://www.govinfo.gov/content/pkg/FR-1996-10-03/pdf/96-25577.pdf,Presidential Document,Executive Order,10/03/1996,1996-09-28,51763,Supporting Families: Collecting Delinquent Child Support Obligations,"",13019
61 FR 49045, 96-24048,49045,https://www.federalregister.gov/documents/1996/09/18/96-24048/amending-executive-order-no-12975,https://www.govinfo.gov/content/pkg/FR-1996-09-18/pdf/96-24048.pdf,Presidential Document,Executive Order,09/18/1996,1996-09-16,49045,Amending Executive Order No. 12975,"Amends: EO 12975, October 13, 1995;;
See: EO 13316, September 17, 2003",13018
61 FR 54079, 96-26837,54080,https://www.federalregister.gov/documents/1996/10/17/96-26837/amendment-to-executive-order-12981,https://www.govinfo.gov/content/pkg/FR-1996-10-17/pdf/96-26837.pdf,Presidential Document,Executive Order,10/17/1996,1996-10-12,54079,Amendment to Executive Order 12981,"Amends: EO 12981, December 5, 1995
See: EO 12924, August 19, 1995",13020
62 FR 7131, 97-3992,7132,https://www.federalregister.gov/documents/1997/02/14/97-3992/advisory-committee-on-high-performance-computing-and-communications-information-technology-and-the,https://www.govinfo.gov/content/pkg/FR-1997-02-14/pdf/97-3992.pdf,Presidential Document,Executive Order,02/14/1997,1997-02-11,7131,"Advisory Committee on High-Performance Computing and Communications, Information Technology, and the Next Generation Internet","Amended by: EO 13092, July 24, 1998; EO 13113, February 10, 1999; EO 13200, February 11, 2001; EO 13215, May 31, 2001; EO 13305, May 28, 2003
See: Public Law 105-305, October 28, 1998 (112 Stat. 2919)",13035
61 FR 68985, 96-33336,68985,https://www.federalregister.gov/documents/1996/12/30/96-33336/further-amendment-to-executive-order-no-12964,https://www.govinfo.gov/content/pkg/FR-1996-12-30/pdf/96-33336.pdf,Presidential Document,Executive Order,12/30/1996,1996-12-26,68985,Further Amendment to Executive Order No. 12964,"Amends: EO 12964, June 21, 1995
Revoked by: EO 13062, September 29, 1997",13032
61 FR 68987, 96-33384,68996,https://www.federalregister.gov/documents/1996/12/31/96-33384/executive-order-13033-of-december-27-1996,https://www.govinfo.gov/content/pkg/FR-1996-12-31/pdf/96-33384.pdf,Presidential Document,Executive Order,12/31/1996,1996-12-27,68987,"Executive Order 13033 of December 27, 1996","Amends: EO 12961, May 26, 1995
Note: EO 13034 is nullified by virtue of the Committee being abolished by EO 13138, September 30, 1999.",13033
61 FR 64592, 96-31165,64599,https://www.federalregister.gov/documents/1996/12/05/96-31165/implementing-for-the-united-states-the-provisions-of-an--nex-1-of-the-decision-concerning-legal,https://www.govinfo.gov/content/pkg/FR-1996-12-05/pdf/96-31165.pdf,Presidential Document,Executive Order,12/05/1996,1996-12-03,64592,"Implementing, for the United States, the Provisions of An- nex 1 of the Decision Concerning Legal Capacity and Privileges and Immunities, Issued by the Council of Ministers of the Conference on Security and Cooperation in Europe on December 1, 1993","",13029
61 FR 37657, 96-18555,37662,https://www.federalregister.gov/documents/1996/07/19/96-18555/federal-information-technology,https://www.govinfo.gov/content/pkg/FR-1996-07-19/pdf/96-18555.pdf,Presidential Document,Executive Order,07/19/1996,1996-07-16,37657,Federal Information Technology,"Amended by: EO 13284, January 23, 2003; EO 13286, February 28, 2003;;
 ;  See: EO 13103, September 30, 1998;;
 ;  Revoked by: EO 13403, May 12, 2006",13011
61 FR 38051, 96-18846,38051,https://www.federalregister.gov/documents/1996/07/23/96-18846/establishing-an-emergency-board-to-investigate-a-dispute-between-the-southeastern-pennsylvania,https://www.govinfo.gov/content/pkg/FR-1996-07-23/pdf/96-18846.pdf,Presidential Document,Executive Order,07/23/1996,1996-07-18,38051,Establishing an Emergency Board To Investigate a Dispute Between the Southeastern Pennsylvania Transportation Authority and Their Employees Represented by the Brotherhood of Locomotive Engineers,"",13012
62 FR 12065, 97-6571,12066,https://www.federalregister.gov/documents/1997/03/13/97-6571/advisory-committee-on-public-interest-obligations-of-digital-television-broadcasters,https://www.govinfo.gov/content/pkg/FR-1997-03-13/pdf/97-6571.pdf,Presidential Document,Executive Order,03/13/1997,1997-03-11,12065,Advisory Committee on Public Interest Obligations of Digital Television Broadcasters,"Amended by: EO 13062, September 29, 1997; EO 13065, October 22, 1997; EO 13081, April 30, 1998; EO 13102, September 25, 1998
Revoked by: EO 13138, September 30, 1999",13038
61 FR 58767, 96-29692,58768,https://www.federalregister.gov/documents/1996/11/19/96-29692/administration-of-export-controls-on-encryption-products,https://www.govinfo.gov/content/pkg/FR-1996-11-19/pdf/96-29692.pdf,Presidential Document,Executive Order,11/19/1996,1996-11-15,58767,Administration of Export Controls on Encryption Products,"Amends: EO 12981, December 5, 1995
See: EO 13206, April 4, 2001; EO 13222, August 17, 2001",13026
62 FR 5137, 97-2818,5138,https://www.federalregister.gov/documents/1997/02/03/97-2818/extension-of-presidential-advisory-committee-on-gulf-war-veterans-illnesses,https://www.govinfo.gov/content/pkg/FR-1997-02-03/pdf/97-2818.pdf,Presidential Document,Executive Order,02/03/1997,1997-01-30,5137,Extension of Presidential Advisory Committee on Gulf War Veterans' Illnesses,"",13034
66 FR 53063, 01-26509,53071,https://www.federalregister.gov/documents/2001/10/18/01-26509/critical-infrastructure-protection-in-the-information-age,https://www.govinfo.gov/content/pkg/FR-2001-10-18/pdf/01-26509.pdf,Presidential Document,Executive Order,10/18/2001,2001-10-16,53063,Critical Infrastructure Protection in the Information Age,"Revokes: EO 13130, July 14, 1999
Amended by: EO 13284, January 23, 2003; EO 13286, February 28, 2003; EO 13316, September 17, 2003; EO 13385, September 29, 2005;  EO 13652, September 30, 2013
Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009; EO 13652, September 30, 2013; EO 13708, September 30, 2015; EO 13811, September 29, 2017
See:  EO 12333, December 4, 1981; EO 12382, September 13, 1982; EO 12472, April 3, 1984; EO 12958, April 17, 1995; EO 13228, October 8, 2001; EO 13585, September 30, 2011",13231
66 FR 56025, 01-27917,56029,https://www.federalregister.gov/documents/2001/11/05/01-27917/further-implementation-of-the-presidential-records-act,https://www.govinfo.gov/content/pkg/FR-2001-11-05/pdf/01-27917.pdf,Presidential Document,Executive Order,11/05/2001,2001-11-01,56025,Further Implementation of the Presidential Records Act,"Revokes: EO 12667, January 18, 1989; Revoked by: EO 13489, January 21, 2009",13233
66 FR 52841, 01-26339,52843,https://www.federalregister.gov/documents/2001/10/17/01-26339/presidents-advisory-commission-on-educational-excellence-for-hispanic-americans,https://www.govinfo.gov/content/pkg/FR-2001-10-17/pdf/01-26339.pdf,Presidential Document,Executive Order,10/17/2001,2001-10-12,52841,President's Advisory Commission on Educational Excellence for Hispanic Americans,"Revokes: EO 12900, February 22, 1994",13230
67 FR 4869, 02-2638,4871,https://www.federalregister.gov/documents/2002/02/01/02-2638/establishing-the-usa-freedom-corps,https://www.govinfo.gov/content/pkg/FR-2002-02-01/pdf/02-2638.pdf,Presidential Document,Executive Order,02/01/2002,2002-01-29,4869,Establishing the USA Freedom Corps,"Amends: EO 13286, February 28, 2003",13254
66 FR 63903, 01-30624,63903,https://www.federalregister.gov/documents/2001/12/10/01-30624/closing-of-federal-government-executive-departments-and-agencies-on-monday-december-24-2001,https://www.govinfo.gov/content/pkg/FR-2001-12-10/pdf/01-30624.pdf,Presidential Document,Executive Order,12/10/2001,2001-12-05,63903,"Closing of Federal Government Executive Departments and Agencies on Monday, December 24, 2001","See:  EO 11582, February 11, 1971",13238
67 FR 7259, 02-4071,7260,https://www.federalregister.gov/documents/2002/02/19/02-4071/presidents-interagency-task-force-to-monitor-and-combat-trafficking-in-persons,https://www.govinfo.gov/content/pkg/FR-2002-02-19/pdf/02-4071.pdf,Presidential Document,Executive Order,02/19/2002,2002-02-13,7259,President's Interagency Task Force To Monitor and Combat Trafficking in Persons,"Amends: EO 13286, February 28, 2003; See: EO 13228, October 8, 2001; Amended by: EO 13333, March 18, 2004",13257
67 FR 9385, 02-5069,9386,https://www.federalregister.gov/documents/2002/02/28/02-5069/amending-executive-order-12866-on-regulatory-planning-and-review,https://www.govinfo.gov/content/pkg/FR-2002-02-28/pdf/02-5069.pdf,Presidential Document,Executive Order,02/28/2002,2002-02-26,9385,Amending Executive Order 12866 on Regulatory Planning and Review,"Amends: EO 12866, September 30, 1993;  Revoked by: EO 13497, January 30, 2009",13258
67 FR 2791, 02-1594,2792,https://www.federalregister.gov/documents/2002/01/18/02-1594/amendment-to-executive-order-13223-ordering-the-ready-reserve-of-the-armed-forces-to-active-duty-and,https://www.govinfo.gov/content/pkg/FR-2002-01-18/pdf/02-1594.pdf,Presidential Document,Executive Order,01/18/2002,2002-01-16,2791,"Amendment to Executive Order 13223, Ordering the Ready Reserve of the Armed Forces to Active Duty and Delegating Certain Authorities to the Secretary of Defense and the","Amends: EO 13223, September 14, 2001; See: Notice of September 12, 2002 (67 FR 58317); Notice of September 10, 2003 (68 FR 53665); Notice of September 10, 2004 (69 FR 55313); Notice of September 8, 2005 (70 FR 54229)",13253
66 FR 66705, 01-31959,66706,https://www.federalregister.gov/documents/2001/12/27/01-31959/establishing-an-emergency-board-to-investigate-a-dispute-between-united-airlines-inc-and-its,https://www.govinfo.gov/content/pkg/FR-2001-12-27/pdf/01-31959.pdf,Presidential Document,Executive Order,12/27/2001,2001-12-20,66705,"Establishing an Emergency Board To Investigate a Dispute Between United Airlines, Inc., and its Mechanics and Related Employees Represented by the International Association of Machinists and Aerospace Workers","",13248
66 FR 58343, 01-29219,58343,https://www.federalregister.gov/documents/2001/11/20/01-29219/national-emergency-construction-authority,https://www.govinfo.gov/content/pkg/FR-2001-11-20/pdf/01-29219.pdf,Presidential Document,Executive Order,11/20/2001,2001-11-16,58343,National Emergency Construction Authority,"See:  Notice of September 12, 2002 (67 FR 58317); Notice of September 10, 2003 (68 FR 53665); Notice of September 10, 2004 (69 FR 55313); Notice of September 8, 2005 (70 FR 54229)",13235
66 FR 50291, 01-24917,50292,https://www.federalregister.gov/documents/2001/10/03/01-24917/continuance-of-certain-federal-advisory-committees,https://www.govinfo.gov/content/pkg/FR-2001-10-03/pdf/01-24917.pdf,Presidential Document,Executive Order,10/03/2001,2001-09-28,50291,Continuance of Certain Federal Advisory Committees,"Continues: EO 11183, October 3, 1964; EO 11145, March 7, 1964; EO 11287, June 28, 1966; EO 12131, May 4, 1979; EO 12196, February 26, 1980; EO 12216, June 18, 1980; EO 12345, February 2, 1982; EO 12367, June 15, 1982; EO 12382, September 13, 1982; EO 12900, February 22, 1994; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13021, October 19, 1996 ; Revokes: EO 13075, February 19, 1998; EO 13080, April 7, 1998; EO 13090, June 29, 1998; EO 13134, August 12, 1999 (in part); EO 13168, September 22, 2000; Supersedes: EO 13138, September 30, 1999 (in part);  Superseded by: EO 13316, September 17, 2003",13225
66 FR 50523, 01-24983,50524,https://www.federalregister.gov/documents/2001/10/03/01-24983/presidents-council-of-advisors-on-science-and-technology,https://www.govinfo.gov/content/pkg/FR-2001-10-03/pdf/01-24983.pdf,Presidential Document,Executive Order,10/03/2001,2001-09-30,50523,President's Council of Advisors on Science and Technology,"Revokes: EO 12882, November 23, 1993; EO 12907, April 14, 1994; EO 13138, September 30, 1999 (in part); Amended by: EO 13305, May 28, 2003; EO 13349, July 23, 2004; EO 13385, September 29, 2005; Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009; Revoked by: EO 13539, April 21, 2010",13226
67 FR 1597, 02-917,1597,https://www.federalregister.gov/documents/2002/01/11/02-917/providing-an-order-of-succession-within-the-department-of-health-and-human-services,https://www.govinfo.gov/content/pkg/FR-2002-01-11/pdf/02-917.pdf,Presidential Document,Executive Order,01/11/2002,2001-12-28,1597,Providing an Order of Succession Within the Department of Health and Human Services,"Amended by: EO 13261, March 19, 2002; Revoked by: EO 13461, February 15, 2008",13250
67 FR 1599, 02-918,1600,https://www.federalregister.gov/documents/2002/01/11/02-918/providing-an-order-of-succession-within-the-department-of-state,https://www.govinfo.gov/content/pkg/FR-2002-01-11/pdf/02-918.pdf,Presidential Document,Executive Order,01/11/2002,2001-12-28,1599,Providing an Order of Succession Within the Department of State,"Revokes: EO 12343, January 27, 1982; Amended by: EO 13261, March 19, 2002",13251
66 FR 29447, 01-13869,29448,https://www.federalregister.gov/documents/2001/05/31/01-13869/presidents-task-force-to-improve-health-care-delivery-for-our-nations-veterans,https://www.govinfo.gov/content/pkg/FR-2001-05-31/pdf/01-13869.pdf,Presidential Document,Executive Order,05/31/2001,2001-05-28,29447,President's Task Force To Improve Health Care Delivery for Our Nation's Veterans,"Revoked by: EO 13316, September 17, 2003",13214
66 FR 30285, 01-14319,30285,https://www.federalregister.gov/documents/2001/06/05/01-14319/presidents-information-technology-advisory-committee-further-amendment-to-executive-order-13035-as,https://www.govinfo.gov/content/pkg/FR-2001-06-05/pdf/01-14319.pdf,Presidential Document,Executive Order,06/05/2001,2001-05-31,30285,"President’s Information Technology Advisory Committee, Further Amendment to Executive Order 13035, as Amended","Amends:  EO 13035, February 11, 1997; See:  EO 13092, July 24, 1998; EO 13113, February 10, 1999; EO 13200, February 11, 2001",13215
66 FR 28829, 01-13381,28830,https://www.federalregister.gov/documents/2001/05/24/01-13381/additional-measures-with-respect-to-prohibiting-the-importation-of-rough-diamonds-from-sierra-leone,https://www.govinfo.gov/content/pkg/FR-2001-05-24/pdf/01-13381.pdf,Presidential Document,Executive Order,05/24/2001,2001-05-22,28829,Additional Measures With Respect To Prohibiting the Importation of Rough Diamonds From Sierra Leone,"Amends:  EO 13194, January 18, 2001;;
 ;  See:  Notice of January 15, 2002; Notice of January 16, 2003; EO 13312, July 29, 2003;;
 ;  Revoked by: EO 13324, January 15, 2004",13213
65 FR 60581, 00-26397,60582,https://www.federalregister.gov/documents/2000/10/12/00-26397/assistance-to-small-business-exporters-and-dislocated,https://www.govinfo.gov/content/pkg/FR-2000-10-12/pdf/00-26397.pdf,Presidential Document,Executive Order,10/12/2000,2000-10-06,60581,Assistance to Small Business Exporters and Dislocated,"",13169
65 FR 60827, 00-26446,60830,https://www.federalregister.gov/documents/2000/10/12/00-26446/increasing-opportunities-and-access-for-disadvantaged-businesses,https://www.govinfo.gov/content/pkg/FR-2000-10-12/pdf/00-26446.pdf,Presidential Document,Executive Order,10/12/2000,2000-10-06,60827,Increasing Opportunities and Access for Disadvantaged Businesses,"See:  EO 11625, October 13, 1971",13170
65 FR 64577, 00-27892,64577,https://www.federalregister.gov/documents/2000/10/27/00-27892/amendment-to-executive-order-13078-to-expand-the-role-of-the-national-task-force-on-employment-of,https://www.govinfo.gov/content/pkg/FR-2000-10-27/pdf/00-27892.pdf,Presidential Document,Executive Order,10/27/2000,2000-10-25,64577,"Amendment to Executive Order 13078, To Expand the Role of the National Task Force on Employment of Adults With Disabilities To Include a Focus on Youth","Amends:  EO 13078, March 13, 1998",13172
65 FR 64579, 00-27893,64580,https://www.federalregister.gov/documents/2000/10/27/00-27893/interagency-task-force-on-the-economic-development-of-the-central-san-joaquin-valley,https://www.govinfo.gov/content/pkg/FR-2000-10-27/pdf/00-27893.pdf,Presidential Document,Executive Order,10/27/2000,2000-10-25,64579,Interagency Task Force on the Economic Development of the Central San Joaquin Valley,"Amended by: EO 13359, October 20, 2004",13173
66 FR 15011, 01-6558,15012,https://www.federalregister.gov/documents/2001/03/14/01-6558/establishing-an-emergency-board-to-investigate-a-dispute-between-northwest-airlines-inc-and-its,https://www.govinfo.gov/content/pkg/FR-2001-03-14/pdf/01-6558.pdf,Presidential Document,Executive Order,03/14/2001,2001-03-09,15011,"Establishing an Emergency Board To Investigate a Dispute Between Northwest Airlines, Inc., and Its Employees Represented by the Aircraft Mechanics Fraternal Association","",13205
66 FR 18397, 01-8835,18398,https://www.federalregister.gov/documents/2001/04/09/01-8835/termination-of-emergency-authority-for-certain-export-controls,https://www.govinfo.gov/content/pkg/FR-2001-04-09/pdf/01-8835.pdf,Presidential Document,Executive Order,04/09/2001,2001-04-04,18397,Termination of Emergency Authority for Certain Export Controls,"Revokes: EO 12924, August 19, 1994; See:  EO 12002, July 7, 1977; EO 12214, May 2, 1980; EO 12938, November 14, 1994; EO 12981, December 5, 1995; EO 13026, November 15, 1996",13206
66 FR 18399, 01-8836,18399,https://www.federalregister.gov/documents/2001/04/09/01-8836/further-amendment-to-executive-order-10000-regulations-governing-additional-compensation-and-credit,https://www.govinfo.gov/content/pkg/FR-2001-04-09/pdf/01-8836.pdf,Presidential Document,Executive Order,04/09/2001,2001-04-05,18399,"Further Amendment to Executive Order 10000, Regulations Governing Additional Compensation and Credit Granted Certain Employees of the Federal Government Serving Outside the United States","Amends:  EO 10000, September 16, 1948",13207
66 FR 18717, 01-9086,18718,https://www.federalregister.gov/documents/2001/04/11/01-9086/amendment-to-executive-order-13202-preservation-of-open-competition-and-government-neutrality,https://www.govinfo.gov/content/pkg/FR-2001-04-11/pdf/01-9086.pdf,Presidential Document,Executive Order,04/11/2001,2001-04-06,18717,"Amendment to Executive Order 13202, Preservation of Open Competition and Government Neutrality Towards Government Contractors' Labor Relations on Federal and Federally Funded Construction Projects","Amends:  EO 13202, February 17, 2001; Revoked by: EO 13502, February 6, 2009",13208
66 FR 8497, 01-2851,8498,https://www.federalregister.gov/documents/2001/01/31/01-2851/agency-responsibilities-with-respect-to-faith--based-and-community-initiatives,https://www.govinfo.gov/content/pkg/FR-2001-01-31/pdf/01-2851.pdf,Presidential Document,Executive Order,01/31/2001,2001-01-29,8497,Agency Responsibilities With Respect to Faith- Based and Community Initiatives,"See: EO 13559, November 17, 2010; EO 14205, February 7, 2025
Amended by: EO 14015, February 14, 2021",13198
65 FR 71233, 00-30690,71234,https://www.federalregister.gov/documents/2000/11/30/00-30690/facilitation-of-a-presidential-transition,https://www.govinfo.gov/content/pkg/FR-2000-11-30/pdf/00-30690.pdf,Presidential Document,Executive Order,11/30/2000,2000-11-27,71233,Facilitation of a Presidential Transition,"Superseded by: EO 13476, October 9, 2008",13176
66 FR 11225, 01-4622,11226,https://www.federalregister.gov/documents/2001/02/22/01-4622/preservation-of-open-competition-and-government-neutrality-towards-government-contractorslabor,https://www.govinfo.gov/content/pkg/FR-2001-02-22/pdf/01-4622.pdf,Presidential Document,Executive Order,02/22/2001,2001-02-17,11225,Preservation of Open Competition and Government Neutrality Towards Government Contractors'Labor Relations on Federal and Federally Funded Construction Projects,"Revokes: EO 12836, February 1, 1993; Memorandum of June 5, 1997; See:  EO 12818, October 23, 1992; Amended by: EO 13208, April 6, 2001; Revoked by: EO 13502, February 6, 2009",13202
66 FR 33627, 01-15958,33629,https://www.federalregister.gov/documents/2001/06/22/01-15958/21st-century-workforce-initiative,https://www.govinfo.gov/content/pkg/FR-2001-06-22/pdf/01-15958.pdf,Presidential Document,Executive Order,06/22/2001,2001-06-20,33627,21st Century Workforce Initiative,"Amends:  EO 13111, January 12, 1999; Revokes: EO 13174, October 27, 2000; See:  EO 13316, September 17, 2003",13218
66 FR 33155, 01-15758,33156,https://www.federalregister.gov/documents/2001/06/21/01-15758/community-based-alternatives-for-individuals-with-disabilities,https://www.govinfo.gov/content/pkg/FR-2001-06-21/pdf/01-15758.pdf,Presidential Document,Executive Order,06/21/2001,2001-06-18,33155,Community-Based Alternatives for Individuals With Disabilities,"",13217
65 FR 46563, 00-19322,46564,https://www.federalregister.gov/documents/2000/07/28/00-19322/increasing-the-opportunity-for-individuals-with-disabilities-to-be-employed-in-the-federal,https://www.govinfo.gov/content/pkg/FR-2000-07-28/pdf/00-19322.pdf,Presidential Document,Executive Order,07/28/2000,2000-07-26,46563,Increasing the Opportunity for Individuals With Disabilities To Be Employed in the Federal Government,"See: EO 13548, July 26, 2010; EO 13583, August 18, 2011",13163
63 FR 36151, 98-17828,36152,https://www.federalregister.gov/documents/1998/07/02/98-17828/presidents-commission-on-the-celebration-of-women-in-american-history,https://www.govinfo.gov/content/pkg/FR-1998-07-02/pdf/98-17828.pdf,Presidential Document,Executive Order,07/02/1998,1998-06-29,36151,President's Commission on the Celebration of Women in American History,"Amended by: EO 13136, September 3, 1999
Revoked by: EO 13225, September 28, 2001",13090
63 FR 36153, 98-17829,36154,https://www.federalregister.gov/documents/1998/07/02/98-17829/administration-of-arms-export-controls-and-foreign-assistance,https://www.govinfo.gov/content/pkg/FR-1998-07-02/pdf/98-17829.pdf,Presidential Document,Executive Order,07/02/1998,1998-06-29,36153,Administration of Arms Export Controls and Foreign Assistance,"Amends: EO 11958, January 18, 1977; EO 12163, September 29, 1979",13091
63 FR 53273, 98-26799,53274,https://www.federalregister.gov/documents/1998/10/05/98-26799/computer-software-piracy,https://www.govinfo.gov/content/pkg/FR-1998-10-05/pdf/98-26799.pdf,Presidential Document,Executive Order,10/05/1998,1998-09-30,53273,Computer Software Piracy,"See: EO 13011, July 16, 1996",13103
